Set,Fold,Specificity,Recall,Precision,Accuracy,F1,MCC,AUC,AUPR,TR
7,2,0.995860285,0.375,0.272727273,0.993300696,0.315789474,0.316516488,0.899207633,0.265191968,0.044470304
7,3,0.999482268,0,0,0.994846689,0,-0.00154999,0.912877154,0.201115027,0.290293787
7,4,0.998187937,0.555555556,0.588235294,0.996135017,0.571428571,0.569723617,0.933888457,0.511428534,0.091845557
7,5,1,0.208333333,1,0.995103093,0.344827586,0.455315086,0.924263053,0.303465479,0.368474276
8,1,0.99844358,0.384615385,0.625,0.994331358,0.476190476,0.487674172,0.835338721,0.39179212,0.054092291
8,2,0.998965606,0.285714286,0.5,0.996392682,0.363636364,0.376304277,0.939857401,0.330958775,0.108936758
8,3,1,0.157894737,1,0.995877351,0.272727273,0.396539139,0.898852517,0.222511688,0.786469724
8,4,0.998446803,0.333333333,0.5,0.99536202,0.4,0.40603082,0.94409929,0.336265868,0.08991565
8,5,0.997668998,0.263157895,0.357142857,0.994072165,0.303030303,0.303657579,0.725132567,0.199559788,0.087621231
9,1,0.99767141,0.4375,0.4375,0.99536202,0.4375,0.43517141,0.954269082,0.330308253,0.083839014
9,2,0.999741134,0,0,0.995104355,0,-0.001095867,0.888284868,0.133073365,0.359964573
9,3,0.997928534,0.263157895,0.384615385,0.994331358,0.3125,0.3153932,0.836585898,0.221816174,0.067321096
9,4,0.998964803,0.294117647,0.555555556,0.995877351,0.384615385,0.402386966,0.871772622,0.35082805,0.264732401
9,5,0.999740529,0.269230769,0.875,0.994845361,0.411764706,0.483766511,0.880144505,0.385728216,0.5
